,id,brand,car_model,type,desc,problem,datetime,status
0,487762,吉利汽车,星越,2019款 350T 驭星者,吉利星越4S店销售库存车 服务承诺不兑现	,"H15,L314,M283,",2020-06-24,信息审核
1,487761,上汽大众,朗逸,2013款 1.4TSI DSG舒适版,上汽大众朗逸变速箱机电单元损坏4S店不保修,"B96,B115,I297,",2020-06-24,信息审核
2,487759,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5发动机渗油售后不予质保,"A12,",2020-06-24,信息审核
3,487758,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越变速箱顿挫 拖挡导致共振严重,"B19,B69,",2020-06-24,信息审核
4,487757,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1配件质量差频繁故障,"H134,H101,",2020-06-24,信息审核
5,487752,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际购车旅游基金不兑现厂家拖延不处理,"I295,L313,",2020-06-24,信息审核
6,487747,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越没有挡位灯和前雾灯与宣传不符,"M279,",2020-06-24,信息审核
7,487746,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动行驶跑偏 发动机抖动,"A24,G117,",2020-06-24,信息审核
8,487741,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪刹车疲软 存在安全隐患,"E269,",2020-06-24,信息审核
9,487740,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6踩刹车异响4S店多次维修不保修,"E43,I295,I297,J298,",2020-06-24,厂家受理
10,487739,上汽集团,名爵ZS,2019款 1.5L 手动 65寸巨幕天窗全球版 国VI,上汽名爵ZS发动机高温熄火厂家不回复,"A191,I295,I294,",2020-06-24,厂家受理
11,487736,吉利汽车,帝豪,2019款 领军版 1.5L 手动 豪华型 国VI,吉利帝豪发动机脚垫前摆臂横梁有维修痕迹,"M283,",2020-06-24,信息审核
12,487734,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达扶手箱滑轨断裂4S店不保修,"H168,I297,N317,",2020-06-24,信息审核
13,487727,东风标致,标致4008,2017款 350THP 精英版,东风标致4008服务站未将保养记录上传,"J299,",2020-06-24,信息审核
14,487724,吉利汽车,帝豪,2014款 1.5L 手动 时尚型 三厢,吉利帝豪变速箱打齿无法正常挂挡,"B20,B77,",2020-06-24,信息审核
15,487720,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳喇叭声音发闷影响使用,"H151,",2020-06-24,信息审核
16,487718,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放尾灯自然开裂质量差,"H220,I295,",2020-06-24,信息审核
17,487717,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致尚版,奇瑞艾瑞泽7车门生锈存在质量问题,"H79,",2020-06-24,信息审核
18,487712,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越实车无挡位显示灯与宣传不符,"M279,",2020-06-24,信息审核
19,487711,沃尔沃（进口）,沃尔沃V40,2019款 T4 智雅版,进口沃尔沃V40经销商手续办理缓慢,"I282,O353,",2020-06-24,信息审核
20,487710,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3新车无法缴纳购置税,"M284,",2020-06-24,信息审核
21,487709,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机无法启动要求解决,"A44,",2020-06-24,信息审核
22,487706,广汽本田,飞度,2020款 1.5L CVT 舒适天窗版,广汽本田飞度邓禄普轮胎爆胎存在质量问题,"F130,N316,",2020-06-23,信息审核
23,487702,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏开裂影响正常使用,"H134,",2020-06-23,信息审核
24,487694,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌仪表台开裂 车内有异响,"H176,H164,",2020-06-23,信息审核
25,487692,北京现代,瑞纳,2017款 1.4L 手动 焕彩版 国V,北京现代瑞纳发动机异响一直没有处理好,"A9,",2020-06-23,信息审核
26,487691,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机有异响,"A9,",2020-06-23,信息审核
27,487688,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙行驶中天窗和车身有异响,"H15,H89,",2020-06-23,信息审核
28,487686,江铃汽车,驭胜S350,2016款 2.4T 自动 四驱 柴油 豪华版 5座,江铃驭胜S350质保期内车身多处有生锈的现象,"H79,",2020-06-23,信息审核
29,487685,东风标致,标致408,2019款 350THP 自动 豪华版 国V,东风标致408驾驶位与副驾驶位上方有异响,"H164,",2020-06-23,厂家受理
0,487681,东南汽车,V5菱致,2014款 1.5T CVT 智控型,东南V5菱致行驶过程中变速箱故障失去动力,"B96,B334,",2020-06-23,信息审核
1,487680,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越升级GKUI19系统后依然卡顿,"O348,",2020-06-23,信息审核
2,487679,吉利汽车,星越,2019款 350T 耀星者,吉利星越雨刮器在工作时卡顿而且异响,"H60,",2020-06-23,信息审核
3,487677,上汽斯柯达,速派,2013款 1.4T DSG 绅仕版,斯柯达速派座椅开裂 材质与宣传不符,"H168,H169,",2020-06-23,信息审核
4,487675,上汽斯柯达,速派,2016款 TSI330 DSG 创行版,斯柯达速派变速箱故障灯亮机电单元损坏,"B96,B77,B115,",2020-06-23,信息审核
5,487672,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉中控屏幕爆裂影响使用,"H134,H168,",2020-06-23,信息审核
6,487671,东风雪铁龙,爱丽舍,2014款 1.6L 手动 时尚型CNG,东风雪铁龙爱丽舍启动后变速箱无法挂挡,"B20,",2020-06-23,信息审核
7,487670,一汽-大众奥迪,奥迪A6L,2020款 45 TFSI quattro 臻选致雅型,一汽大众奥迪A6L承诺多色氛围灯实际未配备,"M279,",2020-06-23,信息审核
8,487669,福田,捷运,BJ5048CCY_AI,福田捷运启动后挂一挡发动机无动力,"A163,",2020-06-23,信息审核
9,487668,东风日产,天籁,2019款 2.0T XL 智领版,东风日产天籁行驶时中控台存在金属摩擦声,"H93,",2020-06-23,信息审核
10,487667,东风本田,本田CR-V,2019款 耀目版 240TURBO CVT 两驱 舒适版 国VI,东风本田CR-V天窗遮阳帘无法开启 换挡异响,"B33,H192,",2020-06-23,信息审核
11,487666,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500中控显示屏闪烁无法使用,"H134,",2020-06-23,厂家受理
